r(A) g(r)
5.750000000000000000e+00 2.308157264944558085e-01
5.850000000000000533e+00 0.000000000000000000e+00
5.950000000000000178e+00 0.000000000000000000e+00
6.049999999999999822e+00 3.660646312486299792e-01
6.150000000000000355e+00 2.948620383449929161e+00
6.250000000000000000e+00 5.639167158417345282e-01
6.350000000000000533e+00 3.319620349213219246e-01
6.450000000000000178e+00 5.177603897855896697e+00
6.549999999999999822e+00 1.864003637612636100e+00
6.650000000000000355e+00 7.327146267996618480e-03
6.750000000000000000e+00 0.000000000000000000e+00
6.850000000000000533e+00 3.387245233380431941e-04
6.950000000000000178e+00 1.478958996108574175e-01
7.049999999999999822e+00 1.203739271935591271e+00
7.150000000000000355e+00 3.306780393815443309e-01
7.250000000000000000e+00 6.138295730996156108e-01
7.350000000000000533e+00 2.529875858600392213e+00
7.450000000000000178e+00 2.392206709631227390e+00
7.549999999999999822e+00 8.551167887931816480e-01
7.650000000000000355e+00 4.852837615405167400e-03
7.750000000000000000e+00 2.209489139136528724e-01
7.850000000000000533e+00 2.190210027752110378e+00
7.950000000000000178e+00 5.987445928870150924e-01
8.050000000000000711e+00 2.305851413531026951e-03
8.150000000000000355e+00 0.000000000000000000e+00
8.250000000000001776e+00 2.812439981655267185e-04
8.350000000000001421e+00 1.436617919970674118e-01
8.450000000000001066e+00 1.918267125712550536e+00
8.550000000000000711e+00 2.304658877072639722e+00
8.650000000000000355e+00 1.153559649296473477e+00
8.750000000000001776e+00 1.754914335296058781e+00
8.850000000000001421e+00 3.369887036832761140e+00
8.950000000000001066e+00 1.956020583330828899e-01
9.050000000000000711e+00 1.281913251306959160e-03
9.150000000000000355e+00 2.436910085744085075e-01
9.250000000000001776e+00 1.785599141380080468e+00
9.350000000000001421e+00 4.933350603115299049e-01
9.450000000000001066e+00 3.682957118834278513e-03
9.550000000000000711e+00 0.000000000000000000e+00
9.650000000000002132e+00 7.609981706838973847e-02
9.750000000000001776e+00 1.528993813103738830e+00
9.850000000000001421e+00 2.951445184657206511e+00
9.950000000000001066e+00 1.341205282156228362e+00
1.005000000000000071e+01 9.569641862953130740e-02
1.015000000000000213e+01 1.375012990538577062e+00
1.025000000000000178e+01 8.251081541302531797e-01
1.035000000000000142e+01 1.412333990787754089e-02
1.045000000000000107e+01 6.661042061815108202e-04
1.055000000000000071e+01 4.039017034792101724e-01
1.065000000000000213e+01 3.029522716999863086e+00
1.075000000000000178e+01 9.121331510736750969e-01
1.085000000000000142e+01 1.218940001265796970e-02
1.095000000000000107e+01 5.352497077415977467e-01
1.105000000000000071e+01 1.455361334669995177e+00
1.115000000000000213e+01 1.852048481193165896e+00
1.125000000000000178e+01 2.776375126290507644e+00
1.135000000000000142e+01 6.014285199537078297e-01
1.145000000000000107e+01 2.273655082112837345e-01
1.155000000000000071e+01 1.372269822477652612e+00
1.165000000000000213e+01 4.047016639696902063e-01
1.175000000000000178e+01 2.270895687315263936e-03
1.185000000000000142e+01 0.000000000000000000e+00
1.195000000000000107e+01 1.510597993494086633e-01
1.205000000000000071e+01 1.309360024654444121e+00
1.215000000000000213e+01 9.417594164497683495e-01
1.225000000000000178e+01 1.985482182763559589e+00
1.235000000000000142e+01 1.193197588411449406e+00
1.245000000000000107e+01 3.042433190998461989e-01
1.255000000000000071e+01 1.316079048427549303e+00
1.265000000000000213e+01 1.002757133459305283e+00
1.275000000000000178e+01 1.014546363970642684e+00
1.285000000000000142e+01 6.856061131155383181e-01
1.295000000000000107e+01 2.467183112092606212e+00
1.305000000000000071e+01 4.241369617162359384e-01
1.315000000000000213e+01 1.676235616442825916e-03
1.325000000000000178e+01 6.128996563795912787e-04
1.335000000000000142e+01 2.166447798228438859e-01
1.345000000000000107e+01 2.197780700906148077e+00
1.355000000000000071e+01 2.082157768595809255e+00
1.365000000000000213e+01 2.058404733716478585e+00
1.375000000000000178e+01 1.753275084563893638e-01
1.385000000000000142e+01 6.647511569636596063e-01
1.395000000000000107e+01 8.979168260786322131e-01
1.405000000000000071e+01 3.005607567583903905e-01
1.415000000000000213e+01 5.116876780405011926e-01
1.425000000000000178e+01 4.244860071259374812e-01
1.435000000000000142e+01 1.060044887022916216e+00
1.445000000000000107e+01 1.332746212760169413e-01
1.455000000000000071e+01 8.324242461167292995e-02
1.465000000000000213e+01 1.237262418960411781e+00
1.475000000000000178e+01 1.700713441415212968e+00
1.485000000000000142e+01 2.295029148363522342e+00
1.495000000000000107e+01 2.069845304191305413e+00
1.505000000000000071e+01 0.000000000000000000e+00
