r(A) average_atoms
5.750000000000000000e+00 3.249076966770803598e-01
5.850000000000000533e+00 0.000000000000000000e+00
5.950000000000000178e+00 0.000000000000000000e+00
6.049999999999999822e+00 5.421755183186595106e-01
6.150000000000000355e+00 4.439363817097415676e+00
6.250000000000000000e+00 8.628230616302187128e-01
6.350000000000000533e+00 5.160465776767964030e-01
6.450000000000000178e+00 8.175518318659472428e+00
6.549999999999999822e+00 2.988923601249644957e+00
6.650000000000000355e+00 1.192842942345924417e-02
6.750000000000000000e+00 0.000000000000000000e+00
6.850000000000000533e+00 5.680204487361544896e-04
6.950000000000000178e+00 2.516330587901164373e-01
7.049999999999999822e+00 2.077534791252485302e+00
7.150000000000000355e+00 5.788128372621413886e-01
7.250000000000000000e+00 1.089463220675944255e+00
7.350000000000000533e+00 4.552115876171542119e+00
7.450000000000000178e+00 4.362965066742402698e+00
7.549999999999999822e+00 1.580516898608349985e+00
7.650000000000000355e+00 9.088327179778471834e-03
7.750000000000000000e+00 4.191990911672820452e-01
7.850000000000000533e+00 4.209031525134904861e+00
7.950000000000000178e+00 1.165293950582220850e+00
8.050000000000000711e+00 4.544163589889235917e-03
8.150000000000000355e+00 0.000000000000000000e+00
8.250000000000001776e+00 5.680204487361544896e-04
8.350000000000001421e+00 2.936665719965918520e-01
8.450000000000001066e+00 3.968190854870775386e+00
8.550000000000000711e+00 4.823913660891792077e+00
8.650000000000000355e+00 2.442771939789832647e+00
8.750000000000001776e+00 3.759159329735870525e+00
8.850000000000001421e+00 7.301050837830161733e+00
8.950000000000001066e+00 4.285714285714285476e-01
9.050000000000000711e+00 2.840102243680772340e-03
9.150000000000000355e+00 5.458676512354444510e-01
9.250000000000001776e+00 4.043453564328316041e+00
9.350000000000001421e+00 1.129224652087475134e+00
9.450000000000001066e+00 8.520306731042317019e-03
9.550000000000000711e+00 0.000000000000000000e+00
9.650000000000002132e+00 1.797784720249928914e-01
9.750000000000001776e+00 3.649531383129792861e+00
9.850000000000001421e+00 7.117012212439647989e+00
9.950000000000001066e+00 3.266969610905992472e+00
1.005000000000000071e+01 2.354444760011360493e-01
1.015000000000000213e+01 3.416642999147969206e+00
1.025000000000000178e+01 2.070434535643283169e+00
1.035000000000000142e+01 3.578528827037773252e-02
1.045000000000000107e+01 1.704061346208463577e-03
